2019-06-05 10:14:41,989 p=7080 u=mistral |  ansible-playbook-2 2.7.10
2019-06-05 10:14:42,480 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/ComputeHCI/deploy_steps_tasks.yaml
2019-06-05 10:14:42,492 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/common_deploy_steps_tasks.yaml
2019-06-05 10:14:42,532 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/external_deploy_steps_tasks.yaml
2019-06-05 10:14:42,550 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/Controller/deploy_steps_tasks.yaml
2019-06-05 10:14:42,553 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/ComputeHCI/deploy_steps_tasks.yaml
2019-06-05 10:14:42,582 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/common_deploy_steps_tasks.yaml
2019-06-05 10:14:42,621 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/external_deploy_steps_tasks.yaml
2019-06-05 10:14:42,640 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/Controller/deploy_steps_tasks.yaml
2019-06-05 10:14:42,643 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/ComputeHCI/deploy_steps_tasks.yaml
2019-06-05 10:14:42,656 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/common_deploy_steps_tasks.yaml
2019-06-05 10:14:42,680 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/external_post_deploy_steps_tasks.yaml
2019-06-05 10:14:42,776 p=7080 u=mistral |  PLAYBOOK: deploy_steps_playbook.yaml *******************************************
2019-06-05 10:14:42,776 p=7080 u=mistral |  25 plays in /var/lib/mistral/lab/deploy_steps_playbook.yaml
2019-06-05 10:14:42,801 passlib.registry registered 'md5_crypt' handler: <class 'passlib.handlers.md5_crypt.md5_crypt'>
2019-06-05 10:14:42,805 p=7080 u=mistral |  PLAY [Gather facts from undercloud] ********************************************
2019-06-05 10:14:42,811 p=7080 u=mistral |  TASK [Gathering Facts] *********************************************************
2019-06-05 10:14:42,811 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deploy_steps_playbook.yaml:1
2019-06-05 10:14:42,811 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:42 -0500 (0:00:00.050)       0:00:00.050 ******** 
2019-06-05 10:14:46,053 p=7080 u=mistral |  ok: [undercloud]
2019-06-05 10:14:46,056 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:46,056 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:46,057 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:46,061 p=7080 u=mistral |  PLAY [Gather facts from overcloud] *********************************************
2019-06-05 10:14:46,102 p=7080 u=mistral |  TASK [Gathering Facts] *********************************************************
2019-06-05 10:14:46,103 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deploy_steps_playbook.yaml:8
2019-06-05 10:14:46,103 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:46 -0500 (0:00:03.291)       0:00:03.341 ******** 
2019-06-05 10:14:47,603 p=7080 u=mistral |  ok: [lab-computehci-0]
2019-06-05 10:14:47,630 p=7080 u=mistral |  ok: [lab-controller-0]
2019-06-05 10:14:47,632 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:47,633 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:47,633 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:47,637 p=7080 u=mistral |  PLAY [Load global variables] ***************************************************
2019-06-05 10:14:47,638 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:47,653 p=7080 u=mistral |  TASK [include_vars] ************************************************************
2019-06-05 10:14:47,653 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deploy_steps_playbook.yaml:18
2019-06-05 10:14:47,653 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:47 -0500 (0:00:01.550)       0:00:04.892 ******** 
2019-06-05 10:14:47,699 p=7080 u=mistral |  ok: [lab-computehci-0] => {"ansible_facts": {"deploy_steps_max": 6, "ssh_known_hosts": {"lab-computehci-0": "[172.16.2.58]*,[lab-computehci-0.localdomain]*,[lab-computehci-0]*,[172.16.1.211]*,[lab-computehci-0.storage.localdomain]*,[lab-computehci-0.storage]*,[172.16.3.13]*,[lab-computehci-0.storagemgmt.localdomain]*,[lab-computehci-0.storagemgmt]*,[172.16.2.58]*,[lab-computehci-0.internalapi.localdomain]*,[lab-computehci-0.internalapi]*,[172.16.0.165]*,[lab-computehci-0.tenant.localdomain]*,[lab-computehci-0.tenant]*,[192.168.24.6]*,[lab-computehci-0.ctlplane.localdomain]*,[lab-computehci-0.ctlplane]*", "lab-controller-0": "[172.16.2.23]*,[lab-controller-0.localdomain]*,[lab-controller-0]*,[172.16.1.48]*,[lab-controller-0.storage.localdomain]*,[lab-controller-0.storage]*,[172.16.3.217]*,[lab-controller-0.storagemgmt.localdomain]*,[lab-controller-0.storagemgmt]*,[172.16.2.23]*,[lab-controller-0.internalapi.localdomain]*,[lab-controller-0.internalapi]*,[172.16.0.175]*,[lab-controller-0.tenant.localdomain]*,[lab-controller-0.tenant]*,[10.0.0.231]*,[lab-controller-0.external.localdomain]*,[lab-controller-0.external]*,[192.168.24.22]*,[lab-controller-0.ctlplane.localdomain]*,[lab-controller-0.ctlplane]*"}}, "ansible_included_var_files": ["/var/lib/mistral/lab/global_vars.yaml"], "changed": false}
2019-06-05 10:14:47,701 p=7080 u=mistral |  ok: [undercloud] => {"ansible_facts": {"deploy_steps_max": 6, "ssh_known_hosts": {"lab-computehci-0": "[172.16.2.58]*,[lab-computehci-0.localdomain]*,[lab-computehci-0]*,[172.16.1.211]*,[lab-computehci-0.storage.localdomain]*,[lab-computehci-0.storage]*,[172.16.3.13]*,[lab-computehci-0.storagemgmt.localdomain]*,[lab-computehci-0.storagemgmt]*,[172.16.2.58]*,[lab-computehci-0.internalapi.localdomain]*,[lab-computehci-0.internalapi]*,[172.16.0.165]*,[lab-computehci-0.tenant.localdomain]*,[lab-computehci-0.tenant]*,[192.168.24.6]*,[lab-computehci-0.ctlplane.localdomain]*,[lab-computehci-0.ctlplane]*", "lab-controller-0": "[172.16.2.23]*,[lab-controller-0.localdomain]*,[lab-controller-0]*,[172.16.1.48]*,[lab-controller-0.storage.localdomain]*,[lab-controller-0.storage]*,[172.16.3.217]*,[lab-controller-0.storagemgmt.localdomain]*,[lab-controller-0.storagemgmt]*,[172.16.2.23]*,[lab-controller-0.internalapi.localdomain]*,[lab-controller-0.internalapi]*,[172.16.0.175]*,[lab-controller-0.tenant.localdomain]*,[lab-controller-0.tenant]*,[10.0.0.231]*,[lab-controller-0.external.localdomain]*,[lab-controller-0.external]*,[192.168.24.22]*,[lab-controller-0.ctlplane.localdomain]*,[lab-controller-0.ctlplane]*"}}, "ansible_included_var_files": ["/var/lib/mistral/lab/global_vars.yaml"], "changed": false}
2019-06-05 10:14:47,723 p=7080 u=mistral |  ok: [lab-controller-0] => {"ansible_facts": {"deploy_steps_max": 6, "ssh_known_hosts": {"lab-computehci-0": "[172.16.2.58]*,[lab-computehci-0.localdomain]*,[lab-computehci-0]*,[172.16.1.211]*,[lab-computehci-0.storage.localdomain]*,[lab-computehci-0.storage]*,[172.16.3.13]*,[lab-computehci-0.storagemgmt.localdomain]*,[lab-computehci-0.storagemgmt]*,[172.16.2.58]*,[lab-computehci-0.internalapi.localdomain]*,[lab-computehci-0.internalapi]*,[172.16.0.165]*,[lab-computehci-0.tenant.localdomain]*,[lab-computehci-0.tenant]*,[192.168.24.6]*,[lab-computehci-0.ctlplane.localdomain]*,[lab-computehci-0.ctlplane]*", "lab-controller-0": "[172.16.2.23]*,[lab-controller-0.localdomain]*,[lab-controller-0]*,[172.16.1.48]*,[lab-controller-0.storage.localdomain]*,[lab-controller-0.storage]*,[172.16.3.217]*,[lab-controller-0.storagemgmt.localdomain]*,[lab-controller-0.storagemgmt]*,[172.16.2.23]*,[lab-controller-0.internalapi.localdomain]*,[lab-controller-0.internalapi]*,[172.16.0.175]*,[lab-controller-0.tenant.localdomain]*,[lab-controller-0.tenant]*,[10.0.0.231]*,[lab-controller-0.external.localdomain]*,[lab-controller-0.external]*,[192.168.24.22]*,[lab-controller-0.ctlplane.localdomain]*,[lab-controller-0.ctlplane]*"}}, "ansible_included_var_files": ["/var/lib/mistral/lab/global_vars.yaml"], "changed": false}
2019-06-05 10:14:47,723 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:47,724 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:47,728 p=7080 u=mistral |  PLAY [Manage SELinux] **********************************************************
2019-06-05 10:14:47,729 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:47,744 p=7080 u=mistral |  TASK [Set selinux state] *******************************************************
2019-06-05 10:14:47,744 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deploy_steps_playbook.yaml:26
2019-06-05 10:14:47,744 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:47 -0500 (0:00:00.090)       0:00:04.983 ******** 
2019-06-05 10:14:48,102 p=7080 u=mistral |  changed: [lab-computehci-0] => {"changed": true, "configfile": "/etc/selinux/config", "msg": "SELinux state changed from 'permissive' to 'enforcing', Config SELinux state changed from 'permissive' to 'enforcing'", "policy": "targeted", "reboot_required": false, "state": "enforcing"}
2019-06-05 10:14:48,103 p=7080 u=mistral |  ok: [undercloud] => {"changed": false, "configfile": "/etc/selinux/config", "msg": "", "policy": "targeted", "reboot_required": false, "state": "enforcing"}
2019-06-05 10:14:48,103 p=7080 u=mistral |  changed: [lab-controller-0] => {"changed": true, "configfile": "/etc/selinux/config", "msg": "SELinux state changed from 'permissive' to 'enforcing', Config SELinux state changed from 'permissive' to 'enforcing'", "policy": "targeted", "reboot_required": false, "state": "enforcing"}
2019-06-05 10:14:48,104 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:48,104 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:48,108 p=7080 u=mistral |  PLAY [Common roles for TripleO servers] ****************************************
2019-06-05 10:14:48,111 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:48,129 p=7080 u=mistral |  TASK [tripleo-bootstrap : Deploy required packages to bootstrap TripleO] *******
2019-06-05 10:14:48,129 p=7080 u=mistral |  task path: /usr/share/ansible/roles/tripleo-bootstrap/tasks/main.yml:3
2019-06-05 10:14:48,129 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:48 -0500 (0:00:00.384)       0:00:05.368 ******** 
2019-06-05 10:14:48,543 p=7080 u=mistral |  ok: [lab-computehci-0] => {"changed": false, "msg": "", "rc": 0, "results": ["openstack-heat-agents-1.8.1-0.20190523203655.1e15344.el7.noarch providing openstack-heat-agents is already installed", "jq-1.5-10.el7.x86_64 providing jq is already installed"]}
2019-06-05 10:14:48,551 p=7080 u=mistral |  ok: [lab-controller-0] => {"changed": false, "msg": "", "rc": 0, "results": ["openstack-heat-agents-1.8.1-0.20190523203655.1e15344.el7.noarch providing openstack-heat-agents is already installed", "jq-1.5-10.el7.x86_64 providing jq is already installed"]}
2019-06-05 10:14:48,570 p=7080 u=mistral |  TASK [tripleo-bootstrap : Check required packages are installed] ***************
2019-06-05 10:14:48,570 p=7080 u=mistral |  task path: /usr/share/ansible/roles/tripleo-bootstrap/tasks/main.yml:9
2019-06-05 10:14:48,570 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:48 -0500 (0:00:00.440)       0:00:05.809 ******** 
2019-06-05 10:14:48,761 p=7080 u=mistral |  changed: [lab-computehci-0] => (item=openstack-heat-agents) => {"changed": true, "cmd": ["rpm", "-q", "openstack-heat-agents"], "delta": "0:00:00.020005", "end": "2019-06-05 15:14:48.749013", "item": "openstack-heat-agents", "rc": 0, "start": "2019-06-05 15:14:48.729008", "stderr": "", "stderr_lines": [], "stdout": "openstack-heat-agents-1.8.1-0.20190523203655.1e15344.el7.noarch", "stdout_lines": ["openstack-heat-agents-1.8.1-0.20190523203655.1e15344.el7.noarch"], "warnings": ["Consider using the yum, dnf or zypper module rather than running 'rpm'.  If you need to use command because yum, dnf or zypper is insufficient you can add 'warn: false' to this command task or set 'command_warnings=False' in ansible.cfg to get rid of this message."]}
2019-06-05 10:14:48,763 p=7080 u=mistral |  changed: [lab-controller-0] => (item=openstack-heat-agents) => {"changed": true, "cmd": ["rpm", "-q", "openstack-heat-agents"], "delta": "0:00:00.020009", "end": "2019-06-05 15:14:48.754316", "item": "openstack-heat-agents", "rc": 0, "start": "2019-06-05 15:14:48.734307", "stderr": "", "stderr_lines": [], "stdout": "openstack-heat-agents-1.8.1-0.20190523203655.1e15344.el7.noarch", "stdout_lines": ["openstack-heat-agents-1.8.1-0.20190523203655.1e15344.el7.noarch"], "warnings": ["Consider using the yum, dnf or zypper module rather than running 'rpm'.  If you need to use command because yum, dnf or zypper is insufficient you can add 'warn: false' to this command task or set 'command_warnings=False' in ansible.cfg to get rid of this message."]}
2019-06-05 10:14:48,863 p=7080 u=mistral |  changed: [lab-computehci-0] => (item=jq) => {"changed": true, "cmd": ["rpm", "-q", "jq"], "delta": "0:00:00.019736", "end": "2019-06-05 15:14:48.852533", "item": "jq", "rc": 0, "start": "2019-06-05 15:14:48.832797", "stderr": "", "stderr_lines": [], "stdout": "jq-1.5-10.el7.x86_64", "stdout_lines": ["jq-1.5-10.el7.x86_64"], "warnings": ["Consider using the yum, dnf or zypper module rather than running 'rpm'.  If you need to use command because yum, dnf or zypper is insufficient you can add 'warn: false' to this command task or set 'command_warnings=False' in ansible.cfg to get rid of this message."]}
2019-06-05 10:14:48,864 p=7080 u=mistral |   [WARNING]: Consider using the yum, dnf or zypper module rather than running
'rpm'.  If you need to use command because yum, dnf or zypper is insufficient
you can add 'warn: false' to this command task or set 'command_warnings=False'
in ansible.cfg to get rid of this message.

2019-06-05 10:14:48,869 p=7080 u=mistral |  changed: [lab-controller-0] => (item=jq) => {"changed": true, "cmd": ["rpm", "-q", "jq"], "delta": "0:00:00.019410", "end": "2019-06-05 15:14:48.863784", "item": "jq", "rc": 0, "start": "2019-06-05 15:14:48.844374", "stderr": "", "stderr_lines": [], "stdout": "jq-1.5-10.el7.x86_64", "stdout_lines": ["jq-1.5-10.el7.x86_64"], "warnings": ["Consider using the yum, dnf or zypper module rather than running 'rpm'.  If you need to use command because yum, dnf or zypper is insufficient you can add 'warn: false' to this command task or set 'command_warnings=False' in ansible.cfg to get rid of this message."]}
2019-06-05 10:14:48,889 p=7080 u=mistral |  TASK [tripleo-bootstrap : Create /var/lib/heat-config/tripleo-config-download directory for deployment data] ***
2019-06-05 10:14:48,889 p=7080 u=mistral |  task path: /usr/share/ansible/roles/tripleo-bootstrap/tasks/main.yml:15
2019-06-05 10:14:48,889 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:48 -0500 (0:00:00.319)       0:00:06.128 ******** 
2019-06-05 10:14:49,068 p=7080 u=mistral |  changed: [lab-controller-0] => {"changed": true, "gid": 0, "group": "root", "mode": "0755", "owner": "root", "path": "/var/lib/heat-config/tripleo-config-download", "secontext": "unconfined_u:object_r:var_lib_t:s0", "size": 6, "state": "directory", "uid": 0}
2019-06-05 10:14:49,070 p=7080 u=mistral |  changed: [lab-computehci-0] => {"changed": true, "gid": 0, "group": "root", "mode": "0755", "owner": "root", "path": "/var/lib/heat-config/tripleo-config-download", "secontext": "unconfined_u:object_r:var_lib_t:s0", "size": 6, "state": "directory", "uid": 0}
2019-06-05 10:14:49,088 p=7080 u=mistral |  TASK [tripleo-bootstrap : Deploy network-scripts required for deprecated network service] ***
2019-06-05 10:14:49,088 p=7080 u=mistral |  task path: /usr/share/ansible/roles/tripleo-bootstrap/tasks/main.yml:33
2019-06-05 10:14:49,088 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:49 -0500 (0:00:00.199)       0:00:06.327 ******** 
2019-06-05 10:14:49,108 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:14:49,115 p=7080 u=mistral |  skipping: [lab-computehci-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:14:49,134 p=7080 u=mistral |  TASK [tripleo-bootstrap : Ensure network service is enabled] *******************
2019-06-05 10:14:49,134 p=7080 u=mistral |  task path: /usr/share/ansible/roles/tripleo-bootstrap/tasks/main.yml:38
2019-06-05 10:14:49,134 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:49 -0500 (0:00:00.046)       0:00:06.373 ******** 
2019-06-05 10:14:49,156 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:14:49,163 p=7080 u=mistral |  skipping: [lab-computehci-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:14:49,182 p=7080 u=mistral |  TASK [tripleo-ssh-known-hosts : Create temporary file for ssh_known_hosts] *****
2019-06-05 10:14:49,182 p=7080 u=mistral |  task path: /usr/share/ansible/roles/tripleo-ssh-known-hosts/tasks/main.yml:9
2019-06-05 10:14:49,182 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:49 -0500 (0:00:00.047)       0:00:06.421 ******** 
2019-06-05 10:14:49,350 p=7080 u=mistral |  changed: [lab-computehci-0] => {"changed": true, "gid": 0, "group": "root", "mode": "0600", "owner": "root", "path": "/tmp/ansible.8p0N_z", "secontext": "unconfined_u:object_r:user_tmp_t:s0", "size": 0, "state": "file", "uid": 0}
2019-06-05 10:14:49,350 p=7080 u=mistral |  changed: [lab-controller-0] => {"changed": true, "gid": 0, "group": "root", "mode": "0600", "owner": "root", "path": "/tmp/ansible.D6QlTI", "secontext": "unconfined_u:object_r:user_tmp_t:s0", "size": 0, "state": "file", "uid": 0}
2019-06-05 10:14:49,369 p=7080 u=mistral |  TASK [tripleo-ssh-known-hosts : Create a temporary copy of ssh_known_hosts] ****
2019-06-05 10:14:49,369 p=7080 u=mistral |  task path: /usr/share/ansible/roles/tripleo-ssh-known-hosts/tasks/main.yml:13
2019-06-05 10:14:49,369 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:49 -0500 (0:00:00.187)       0:00:06.608 ******** 
2019-06-05 10:14:49,474 p=7080 u=mistral |  changed: [lab-controller-0] => {"changed": true, "cmd": "if [[ -e /etc/ssh/ssh_known_hosts ]]; then\n cat /etc/ssh/ssh_known_hosts > '/tmp/ansible.D6QlTI'\n fi", "delta": "0:00:00.002426", "end": "2019-06-05 15:14:49.468760", "rc": 0, "start": "2019-06-05 15:14:49.466334", "stderr": "", "stderr_lines": [], "stdout": "", "stdout_lines": []}
2019-06-05 10:14:49,493 p=7080 u=mistral |  changed: [lab-computehci-0] => {"changed": true, "cmd": "if [[ -e /etc/ssh/ssh_known_hosts ]]; then\n cat /etc/ssh/ssh_known_hosts > '/tmp/ansible.8p0N_z'\n fi", "delta": "0:00:00.002334", "end": "2019-06-05 15:14:49.481927", "rc": 0, "start": "2019-06-05 15:14:49.479593", "stderr": "", "stderr_lines": [], "stdout": "", "stdout_lines": []}
2019-06-05 10:14:49,511 p=7080 u=mistral |  TASK [tripleo-ssh-known-hosts : Add host keys to temporary ssh_known_hosts] ****
2019-06-05 10:14:49,512 p=7080 u=mistral |  task path: /usr/share/ansible/roles/tripleo-ssh-known-hosts/tasks/main.yml:18
2019-06-05 10:14:49,512 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:49 -0500 (0:00:00.142)       0:00:06.750 ******** 
2019-06-05 10:14:49,721 p=7080 u=mistral |  changed: [lab-controller-0] => (item=lab-controller-0) => {"backup": "", "changed": true, "item": "lab-controller-0", "msg": "line added"}
2019-06-05 10:14:49,726 p=7080 u=mistral |  changed: [lab-computehci-0] => (item=lab-controller-0) => {"backup": "", "changed": true, "item": "lab-controller-0", "msg": "line added"}
2019-06-05 10:14:49,836 p=7080 u=mistral |  changed: [lab-computehci-0] => (item=lab-computehci-0) => {"backup": "", "changed": true, "item": "lab-computehci-0", "msg": "line added"}
2019-06-05 10:14:49,837 p=7080 u=mistral |  changed: [lab-controller-0] => (item=lab-computehci-0) => {"backup": "", "changed": true, "item": "lab-computehci-0", "msg": "line added"}
2019-06-05 10:14:49,857 p=7080 u=mistral |  TASK [tripleo-ssh-known-hosts : In-place update of /etc/ssh_known_hosts] *******
2019-06-05 10:14:49,857 p=7080 u=mistral |  task path: /usr/share/ansible/roles/tripleo-ssh-known-hosts/tasks/main.yml:24
2019-06-05 10:14:49,857 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:49 -0500 (0:00:00.345)       0:00:07.096 ******** 
2019-06-05 10:14:49,965 p=7080 u=mistral |  changed: [lab-controller-0] => {"changed": true, "cmd": "cat '/tmp/ansible.D6QlTI' > /etc/ssh/ssh_known_hosts\n rm -f '/tmp/ansible.D6QlTI'", "delta": "0:00:00.003964", "end": "2019-06-05 15:14:49.959771", "rc": 0, "start": "2019-06-05 15:14:49.955807", "stderr": "", "stderr_lines": [], "stdout": "", "stdout_lines": []}
2019-06-05 10:14:49,984 p=7080 u=mistral |  changed: [lab-computehci-0] => {"changed": true, "cmd": "cat '/tmp/ansible.8p0N_z' > /etc/ssh/ssh_known_hosts\n rm -f '/tmp/ansible.8p0N_z'", "delta": "0:00:00.003830", "end": "2019-06-05 15:14:49.973780", "rc": 0, "start": "2019-06-05 15:14:49.969950", "stderr": "", "stderr_lines": [], "stdout": "", "stdout_lines": []}
2019-06-05 10:14:49,985 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:49,985 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:49,989 p=7080 u=mistral |  PLAY [Overcloud deploy step tasks for step 0] **********************************
2019-06-05 10:14:49,994 p=7080 u=mistral |  META: ran handlers
2019-06-05 10:14:50,011 p=7080 u=mistral |  TASK [Create /var/lib/container-puppet] ****************************************
2019-06-05 10:14:50,012 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deploy_steps_playbook.yaml:58
2019-06-05 10:14:50,012 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:50 -0500 (0:00:00.154)       0:00:07.250 ******** 
2019-06-05 10:14:50,117 p=7080 u=mistral |  changed: [lab-controller-0] => {"censored": "the output has been hidden due to the fact that 'no_log: true' was specified for this result", "changed": true}
2019-06-05 10:14:50,136 p=7080 u=mistral |  changed: [lab-computehci-0] => {"censored": "the output has been hidden due to the fact that 'no_log: true' was specified for this result", "changed": true}
2019-06-05 10:14:50,154 p=7080 u=mistral |  TASK [Write container-puppet.py] ***********************************************
2019-06-05 10:14:50,154 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deploy_steps_playbook.yaml:61
2019-06-05 10:14:50,154 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:50 -0500 (0:00:00.142)       0:00:07.393 ******** 
2019-06-05 10:14:50,611 p=7080 u=mistral |  changed: [lab-controller-0] => {"censored": "the output has been hidden due to the fact that 'no_log: true' was specified for this result", "changed": true}
2019-06-05 10:14:50,611 p=7080 u=mistral |  changed: [lab-computehci-0] => {"censored": "the output has been hidden due to the fact that 'no_log: true' was specified for this result", "changed": true}
2019-06-05 10:14:50,630 p=7080 u=mistral |  TASK [Run puppet on the host to apply IPtables rules] **************************
2019-06-05 10:14:50,630 p=7080 u=mistral |  task path: /var/lib/mistral/lab/Controller/deploy_steps_tasks.yaml:2
2019-06-05 10:14:50,630 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:50 -0500 (0:00:00.475)       0:00:07.869 ******** 
2019-06-05 10:14:50,650 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:14:50,657 p=7080 u=mistral |  skipping: [lab-computehci-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:14:50,676 p=7080 u=mistral |  TASK [configure tmpwatch on the host] ******************************************
2019-06-05 10:14:50,676 p=7080 u=mistral |  task path: /var/lib/mistral/lab/Controller/deploy_steps_tasks.yaml:13
2019-06-05 10:14:50,676 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:50 -0500 (0:00:00.046)       0:00:07.915 ******** 
2019-06-05 10:14:50,696 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:14:50,704 p=7080 u=mistral |  skipping: [lab-computehci-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:14:50,722 p=7080 u=mistral |  TASK [create iptables service] *************************************************
2019-06-05 10:14:50,722 p=7080 u=mistral |  task path: /var/lib/mistral/lab/Controller/deploy_steps_tasks.yaml:27
2019-06-05 10:14:50,722 p=7080 u=mistral |  Wednesday 05 June 2019  10:14:50 -0500 (0:00:00.046)       0:00:07.961 ******** 
2019-06-05 10:14:50,751 p=7080 u=mistral |  skipping: [lab-computehci-0] => {"changed": false, "skip_reason": "Conditional result was False"}
